rank,candidate_id,semantic_score,semantic_norm,cross_encoder_score,cross_encoder_norm,cross_encoder_raw,structured_score,structured_norm,multiplier,final_score,experience_fit,notice_period_score,engagement_score,recency_score,github_score,assessment_credibility
1,CAND_0088025,0.5443,0.6443,0.7253,1.0,0.9711,0.7921,0.7898,1.0,0.8335,1.0,0.45,0.87,0.4493,1.0,1.0
2,CAND_0077337,0.542,0.5718,0.7228,0.9888,0.9586,0.8527,0.9408,1.0,0.8332,1.0,0.75,0.837,0.5488,1.0,1.0
3,CAND_0018499,0.5451,0.6682,0.6974,0.8748,0.8349,0.8523,0.9397,1.0,0.8154,1.0,1.0,0.7045,0.4419,1.0,1.0
4,CAND_0008425,0.5439,0.6327,0.7002,0.8871,0.8481,0.7235,0.6191,1.0,0.7445,1.0,0.45,0.6485,0.3274,0.8883,1.0
5,CAND_0046064,0.5364,0.3961,0.706,0.9133,0.876,0.8369,0.9014,1.0,0.7299,1.0,1.0,0.731,0.3329,1.0,1.0
6,CAND_0002025,0.5285,0.15,0.7124,0.9419,0.907,0.8765,1.0,1.0,0.6764,1.0,1.0,0.7355,0.5488,1.0,1.0
7,CAND_0086022,0.5349,0.3511,0.6907,0.8446,0.8033,0.8045,0.8208,1.0,0.6671,1.0,1.0,0.5915,0.2771,1.0,1.0
8,CAND_0071974,0.5317,0.2502,0.7119,0.9397,0.9046,0.789,0.7823,1.0,0.6669,1.0,0.75,0.7395,0.2818,1.0,1.0
9,CAND_0006567,0.5277,0.1261,0.717,0.9625,0.9295,0.7802,0.7603,1.0,0.6293,1.0,0.75,0.839,0.3741,0.5867,1.0
10,CAND_0011687,0.5286,0.1529,0.6912,0.8469,0.8057,0.8621,0.9641,1.0,0.6274,1.0,1.0,0.79,0.4204,1.0,1.0
11,CAND_0081846,0.5244,0.0229,0.7226,0.9876,0.9573,0.8047,0.8213,1.0,0.6167,1.0,1.0,0.7575,0.3741,0.5617,1.0
12,CAND_0099806,0.5514,0.8653,0.5363,0.1525,0.1453,0.7541,0.6952,1.0,0.5106,0.7,1.0,0.7155,0.3867,1.0,1.0
13,CAND_0037566,0.5517,0.8741,0.5064,0.0186,0.0256,0.8187,0.8561,1.0,0.4855,1.0,1.0,0.653,0.3012,1.0,1.0
14,CAND_0046525,0.5387,0.4681,0.6758,0.7779,0.7345,0.7992,0.8076,0.7,0.4728,1.0,0.75,0.7755,0.522,0.6117,1.0
15,CAND_0062247,0.5453,0.6749,0.5277,0.1139,0.1107,0.8263,0.875,1.0,0.4625,1.0,1.0,0.759,0.3166,0.8783,1.0
16,CAND_0050454,0.5419,0.57,0.5601,0.2592,0.2414,0.7627,0.7166,1.0,0.4595,1.0,1.0,0.6985,0.3385,0.3,1.0
17,CAND_0061339,0.5557,1.0,0.5109,0.039,0.0438,0.6383,0.4068,1.0,0.4489,0.7,0.45,0.7085,0.2385,1.0,1.0
18,CAND_0065195,0.5461,0.7014,0.5079,0.0253,0.0315,0.8379,0.9039,1.0,0.4377,1.0,0.75,0.7645,0.5308,1.0,1.0
19,CAND_0009024,0.548,0.7603,0.5117,0.0423,0.0467,0.7424,0.666,1.0,0.4184,1.0,1.0,0.517,0.2507,0.545,1.0
20,CAND_0075249,0.5484,0.7716,0.5084,0.0275,0.0335,0.7145,0.5967,1.0,0.4018,1.0,0.75,0.6755,0.2507,0.6133,0.8
21,CAND_0076163,0.5432,0.6084,0.5104,0.0368,0.0417,0.8118,0.839,1.0,0.3973,1.0,0.75,0.726,0.4204,1.0,1.0
22,CAND_0042506,0.5455,0.6808,0.5072,0.0222,0.0287,0.7675,0.7287,1.0,0.394,0.7,1.0,0.657,0.5134,1.0,1.0
23,CAND_0064326,0.5411,0.545,0.5035,0.0055,0.0139,0.845,0.9216,1.0,0.3775,1.0,0.75,0.838,0.5049,1.0,1.0
24,CAND_0044222,0.5366,0.4046,0.5494,0.2116,0.1984,0.733,0.6428,1.0,0.3654,1.0,0.75,0.6415,0.4569,0.4817,0.8
25,CAND_0041610,0.5371,0.4181,0.5108,0.0385,0.0433,0.8356,0.8981,1.0,0.3433,1.0,1.0,0.674,0.4493,0.8683,1.0
26,CAND_0068811,0.5393,0.4889,0.5084,0.0278,0.0337,0.7861,0.775,1.0,0.3386,1.0,1.0,0.6045,0.5049,0.385,1.0
27,CAND_0014440,0.5393,0.4877,0.5051,0.0129,0.0204,0.7848,0.7717,1.0,0.3308,1.0,0.75,0.682,0.4204,1.0,0.8
28,CAND_0096142,0.5397,0.4987,0.5099,0.0345,0.0397,0.7324,0.6412,1.0,0.3183,1.0,0.15,0.7345,0.5049,1.0,1.0
29,CAND_0069905,0.5406,0.5275,0.5044,0.0096,0.0175,0.727,0.6277,1.0,0.3145,1.0,0.45,0.7825,0.3063,0.7467,1.0
30,CAND_0076831,0.543,0.6033,0.5128,0.0474,0.0512,0.6291,0.384,1.0,0.3093,0.7,0.45,0.5525,0.4493,0.7783,1.0
31,CAND_0036184,0.5336,0.3106,0.5099,0.0342,0.0395,0.8463,0.9249,1.0,0.3091,1.0,1.0,0.722,0.5488,0.72,1.0
32,CAND_0083879,0.5382,0.4547,0.5072,0.022,0.0286,0.7491,0.6828,1.0,0.3056,1.0,1.0,0.672,0.2865,0.3,1.0
33,CAND_0079387,0.5303,0.2063,0.5316,0.1319,0.1268,0.8236,0.8685,1.0,0.3052,1.0,1.0,0.7795,0.3274,1.0,0.8
34,CAND_0020708,0.5451,0.6696,0.5096,0.033,0.0383,0.7341,0.6455,0.8,0.3026,0.7,1.0,0.806,0.1953,1.0,1.0
35,CAND_0061257,0.5296,0.1847,0.5368,0.1549,0.1474,0.8097,0.8336,1.0,0.3011,1.0,1.0,0.7715,0.2818,0.755,1.0
36,CAND_0051292,0.5359,0.3821,0.5046,0.0106,0.0184,0.797,0.8022,1.0,0.299,1.0,1.0,0.56,0.2636,1.0,1.0
37,CAND_0051615,0.5461,0.7007,0.5118,0.0427,0.0471,0.6851,0.5234,0.8,0.2953,0.7,0.75,0.7895,0.1599,1.0,1.0
38,CAND_0066376,0.5402,0.5157,0.5104,0.0365,0.0415,0.6652,0.4738,1.0,0.2917,1.0,0.45,0.599,0.3741,0.3,1.0
39,CAND_0000031,0.5351,0.3552,0.5082,0.0269,0.033,0.7812,0.7626,1.0,0.289,1.0,0.75,0.6955,0.5308,0.5433,1.0
40,CAND_0028793,0.5393,0.4866,0.5099,0.0345,0.0397,0.6762,0.5011,1.0,0.286,1.0,0.15,0.6495,0.268,1.0,1.0
41,CAND_0076251,0.5397,0.5011,0.504,0.0078,0.0159,0.6893,0.5339,1.0,0.2857,1.0,0.75,0.559,0.2771,0.3,1.0
42,CAND_0049896,0.5386,0.4668,0.5092,0.0313,0.0369,0.6849,0.5228,1.0,0.282,1.0,0.45,0.6115,0.4724,0.3,1.0
43,CAND_0098846,0.5259,0.0675,0.5534,0.2293,0.2144,0.7824,0.7658,1.0,0.28,1.0,0.75,0.659,0.3166,1.0,1.0
44,CAND_0037980,0.5296,0.1844,0.5649,0.2807,0.2609,0.77,0.735,0.8,0.2703,1.0,1.0,0.761,0.2053,0.5133,1.0
45,CAND_0039383,0.542,0.571,0.5097,0.0333,0.0387,0.707,0.5779,0.8,0.2643,1.0,0.45,0.77,0.1767,1.0,0.8
46,CAND_0018722,0.5422,0.5788,0.5055,0.0145,0.0218,0.7567,0.7016,0.75,0.2621,1.0,0.45,0.792,0.322,1.0,1.0
47,CAND_0027801,0.5363,0.395,0.5119,0.0435,0.0478,0.6746,0.4972,1.0,0.2573,1.0,0.15,0.6445,0.2636,1.0,1.0
48,CAND_0083307,0.5426,0.5892,0.5112,0.0401,0.0447,0.6701,0.486,0.8,0.2572,1.0,0.15,0.7075,0.1827,1.0,1.0
49,CAND_0093912,0.5276,0.123,0.5147,0.0557,0.0586,0.8542,0.9446,1.0,0.257,1.0,1.0,0.733,0.4274,1.0,1.0
50,CAND_0078002,0.5358,0.3797,0.5093,0.0319,0.0374,0.7827,0.7664,0.85,0.2554,1.0,0.75,0.77,0.3063,0.8433,1.0
51,CAND_0041669,0.5309,0.2236,0.5082,0.0267,0.0328,0.7967,0.8013,1.0,0.2505,1.0,0.75,0.836,0.2385,1.0,1.0
52,CAND_0078492,0.5369,0.4111,0.512,0.044,0.0482,0.7747,0.7466,0.8,0.2504,1.0,1.0,0.7265,0.2194,0.59,1.0
53,CAND_0074735,0.539,0.4788,0.51,0.035,0.0401,0.7337,0.6444,0.8,0.2497,1.0,0.45,0.7795,0.2053,1.0,1.0
54,CAND_0081852,0.5298,0.1893,0.512,0.0439,0.0481,0.8019,0.8143,1.0,0.2489,1.0,0.75,0.5495,0.522,1.0,1.0
55,CAND_0006418,0.5361,0.3874,0.5082,0.0268,0.0328,0.7907,0.7865,0.8,0.2439,1.0,0.75,0.8275,0.2158,0.995,1.0
56,CAND_0024620,0.5314,0.242,0.5575,0.2476,0.2309,0.7329,0.6426,0.75,0.2435,1.0,0.75,0.6875,0.2636,0.555,1.0
57,CAND_0070485,0.5403,0.5181,0.5055,0.0146,0.0219,0.5845,0.2728,1.0,0.2424,1.0,0.15,0.603,0.2231,0.4383,0.8
58,CAND_0007009,0.5354,0.3668,0.5131,0.0486,0.0523,0.7808,0.7619,0.8,0.2421,1.0,1.0,0.6815,0.1767,1.0,0.8
59,CAND_0006557,0.5371,0.4178,0.516,0.0618,0.0641,0.6042,0.3219,1.0,0.2384,1.0,0.15,0.652,0.255,0.3,1.0
60,CAND_0084819,0.538,0.4483,0.5067,0.0199,0.0267,0.6204,0.3624,1.0,0.2383,0.7,0.15,0.746,0.4134,0.9267,1.0
61,CAND_0043637,0.5318,0.2522,0.5086,0.0284,0.0342,0.7421,0.6654,1.0,0.2341,1.0,0.75,0.8535,0.5308,0.3,0.6
62,CAND_0020350,0.5241,0.0111,0.553,0.2275,0.2128,0.7313,0.6384,1.0,0.2339,1.0,1.0,0.6235,0.2307,0.3,1.0
63,CAND_0054100,0.528,0.1358,0.5064,0.0186,0.0255,0.8294,0.8828,1.0,0.2324,1.0,0.75,0.7015,0.5397,1.0,1.0
64,CAND_0075574,0.5304,0.2091,0.5099,0.0346,0.0398,0.7594,0.7084,1.0,0.2304,1.0,0.75,0.697,0.4724,0.6283,0.8
65,CAND_0051004,0.5337,0.3117,0.5076,0.0242,0.0305,0.6944,0.5465,1.0,0.2293,0.7,1.0,0.6465,0.3867,0.5133,1.0
66,CAND_0066999,0.5294,0.1772,0.5094,0.032,0.0375,0.7777,0.7541,1.0,0.2273,1.0,1.0,0.597,0.2346,1.0,0.8
67,CAND_0029367,0.5316,0.2478,0.5094,0.032,0.0375,0.7281,0.6305,1.0,0.2272,1.0,0.45,0.6275,0.4966,0.6633,1.0
